id,nareas,turtle,openwater,depth,canopy,forest,VP,razz,shroom,herb,slug,worm,em,fowet,riv,ss,ub,upland,edgefine,edgecoarse,Pafine,Pacoarse,strlen,distlotic,distH2O,distfowet,distupland
1,3,1,0,0.586667,35.04333,0.22,0.066667,0,0.09,1.78,0.066667,0.166667,0.083333,0.023333,0,0.733333,0,0.153333,127.6667,119.6667,0.016667,0.016667,61.33333,29.33333,29.33333,140.3333,47
2,3,1,0.036667,0.426667,28.95333,0.206667,0.1,0,0.066667,2.213333,0.066667,0.246667,0.66,0,0.003333,0.333333,0,0,45,9.333333,0.006667,0,108.3333,29.33333,29.33333,182.3333,118.6667
3,3,1,0.2,0.616667,41.97333,0.506667,0.69,0.09,0.133333,1.55,0.113333,0.236667,0.223333,0.483333,0.193333,0.093333,0,0,138.3333,139.3333,0.02,0.02,50.33333,32.66667,32.66667,10,142
4,3,1,0.026667,0.246667,51.88667,0.506667,0,0.083333,0.056667,1.716667,0.216667,0.3,0.383333,0.33,0.036667,0.23,0,0.013333,160,106.6667,0.02,0.013333,63.66667,29.66667,29.66667,174.3333,91.33333
5,1,1,0,0.52,30,0.17,0,0.04,0.07,2.31,0.3,0.11,0.43,0,0,0.57,0,0,172,95,0.02,0.01,15,48,48,199,122
6,1,1,0.11,0.59,42.59,0.33,0,0.04,0.04,1.07,0.08,0.31,0.49,0,0.38,0.12,0,0,183,183,0.02,0.02,86,4,4,294,51
7,2,1,0.02,0.25,52.29,0.415,0.02,0.02,0.165,1.815,0.145,0.19,0,0.45,0,0.4,0,0.15,153.5,99.5,0.015,0.01,89,18,18,22,26.5
8,1,1,0.2,0.67,53.67,0.53,0.27,0,0.17,1.2,0.13,0.33,0,0,0,0,0.04,0.95,48,48,0.01,0.01,0,54,40,375,0
9,2,1,0,0.5,31.665,0.585,0.085,0,0,1.25,0,0.175,0.06,0,0.275,0.135,0.065,0.46,209.5,209.5,0.025,0.025,58.5,15,3.5,60,7.5
10,2,1,0.34,0.76,45.8,0.4,0,0,0.18,0.8,0.2,0.1,0,0.75,0.245,0,0,0,150,59.5,0.02,0.005,66,18.5,18.5,0.5,75.5
12,3,1,0.083333,0.7,67.11,0.44,0,0.023333,0.193333,1.366667,0.15,0.023333,0,0,0.206667,0.18,0.153333,0.453333,118,118,0.013333,0.013333,0,56.33333,30.33333,251.3333,21.66667
13,2,1,0.215,0.93,45.475,0.32,0,0.025,0.11,1.375,0.215,0.35,0.45,0,0.24,0.11,0,0.19,142,142,0.015,0.015,0,22.5,22.5,349.5,20.5
14,3,1,0.153333,0.566667,41.59333,0.48,0.2,0,0.113333,1.33,0.056667,0,0.293333,0,0,0.126667,0.193333,0.376667,144.3333,144.3333,0.016667,0.016667,0,149.6667,50,220.3333,20.33333
15,3,1,0,0.39,42.27667,0.416667,0,0,0.183333,1.71,0.063333,0,0.203333,0,0,0.386667,0,0.41,98.33333,98.33333,0.01,0.01,0,110,110,165.3333,7.333333
